quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
139.622,NSW,Coca-Cola Europacifc Partners Northmead,Northmead,-33.798659,150.984774
33740.1844,NSW,Tumbarumba Mill,Tumbarumba,-35.773406,147.966083
159.8,NSW,Southern Oil Refinery Bomen,Bomen,-35.068917,147.410667
546.67,WA,Geraldton Quarry,Greenough,-28.916667,114.75
2109.8,QLD,Warwick Brick Works P/L,Warwick,-28.228423,152.040444
4034.43,WA,Voyager Operations,Woottating,-31.87334,116.356632
3012.11,WA,Gosnells Quarry,Martin,-32.068611,116.022778
210,QLD,Yabulu Refinery,Yabulu,-19.200166,146.61331
4175.61,QLD,Whyalla Feedlot,Texas,-28.745209,151.052599
2240.6204,QLD,Opal Creek,Cecil Plains,-27.679387,150.914363
899.4919567,QLD,Tingalpa site,Tingalpa,-27.473745,153.112
9622.130188,QLD,Braemar Power Project,Dalby,-27.110758,150.905244
1792,ACT,LOWER MOLONGLO WATER QUALITY CONTROL CENTRE,Holt,-35.246843,148.971271
104300,WA,Pinjarra Alcoa Alumina Refinery and Alinta Cogeneration Plant,Pinjarra,-32.635,115.944167
3397,QLD,Bracalba Quarry,Bracalba,-26.997944,152.82125
181364.433,NSW,Bulga Coal Surface and Underground Operations,Singleton,-32.676997,151.090884
416.8344,NSW,Teys Australia Jindalee,Springdale,-34.455293,147.77504
147.784,NSW,Tangaratta Stockfeeds Pty Limited,Tamworth,-31.039983,150.847139
265.889,VIC,Western Hospital - Sunshine,St Albans,-37.759935,144.80859
1885.25,QLD,Wallumbilla Terminal,Wallumbilla,-26.6958,149.184
241.3,VIC,GREAT OCEAN INGREDIENTS PTY LTD,Allansford,-38.39438889,142.6276944
511.557,VIC,Shepparton Quarry,Cosgrove,-36.32739,145.5956
298.51809,VIC,Strathmerton Site,Strathmerton,-35.92338889,145.4882222
1026.94,WA,Midland Brick - South Guildford,South Guildford,-31.9203583,115.9888667
66.356573,QLD,COMGROUP SUPPLIES PTY LTD,Carole Park,-27.6225,152.925
3341.16,WA,Munster (Russell Rd) Operations,Munster,-32.140833,115.795
796,VIC,Ballarat Project,Mt Clear,-37.58955556,143.8583611
